0,110,-8,35.58,28.4444
1,161,-8,49.5,33.34921
2,161,-7,55.34,37.94238
3,161,-10,55.02,41.82271
4,161,-8,62.36,44.03487
5,161,-8,63.72,48.75574
6,161,-9,81.9,46.95754
7,161,0,79.66,47.67205
8,161,-2,68.04,48.58969
9,161,-2,83.46,50.86854
10,165,-7,82.82,53.71767
11,182,11,93.92,51.69907
12,188,-10,90.04,57.83838
13,188,2,97.6,55.55753
14,188,10,104.06,55.78688
15,188,-3,96.12,57.42739
16,188,2,94.36,56.66595
17,188,0,88.04,60.08292
18,188,-9,98.24,61.00051
19,188,-9,88.44,64.94372
20,188,-9,93.94,59.57798
21,188,3,100.06,57.10286
22,188,-7,91.36,60.1657
23,188,3,103.62,56.66706
24,188,3,86.32,60.56846
25,188,4,98.44,57.7921
26,188,-3,89.72,59.57048
27,188,-1,89.02,61.82378
28,188,3,98.48,58.1375
29,188,6,102.98,58.56944
30,188,-2,110.86,60.99705
31,188,10,96.86,64.32947
32,188,3,96.68,60.30836
33,188,7,93.34,64.35577
34,188,2,90.38,62.78468
35,188,4,94.46,60.22765
36,188,-10,97.5,62.07004
37,188,4,101.64,63.93646
38,188,-1,107.5,59.55443
39,188,9,102.44,63.51162
40,188,9,103.66,61.33795
41,188,-2,105.56,63.32808
42,188,0,97.04,64.10709
43,188,-1,97.68,64.77544
44,187,11,113.4,59.94331
45,187,14,103.42,56.66078
46,190,-10,101.86,66.11717
47,190,-11,89.7,69.86137
48,190,-20,92.38,68.47011
49,190,-15,110.86,63.26231
50,190,-12,106.22,64.22813
