0,167,-8,45.56,37.07946
1,157,-9,75,38.43124
2,176,28,98.08,32.47759
3,182,26,117.6,30.7337
4,182,26,120.22,36.27467
5,192,36,129.04,33.82305
6,192,6,127.26,44.30747
7,192,15,139.74,32.59007
8,192,3,136.16,42.58044
9,192,15,133.74,43.49014
10,192,-5,128.56,41.20105
11,193,16,136.42,40.04102
12,192,53,141.5,34.4739
13,193,22,140.14,45.72352
14,193,6,148.54,41.60827
15,194,25,147.26,42.84055
16,193,24,148.46,42.22095
17,193,14,146.64,47.46525
18,193,25,147.7,44.95164
19,193,24,140.94,54.00645
20,193,35,148,45.01733
21,194,24,150.32,47.20824
22,196,62,158.18,36.5539
23,196,13,151.66,47.23626
24,196,25,146.84,51.36511
25,196,34,150.2,49.72444
26,197,35,155.62,43.54349
27,196,-5,146.28,55.55576
28,197,26,154.18,49.18239
29,196,5,154.04,51.05564
30,197,24,156.28,45.1008
31,197,24,151.98,53.20883
32,197,34,157.72,43.95545
33,196,4,144.14,59.13646
34,196,35,154.58,49.0975
35,196,36,153.6,49.35463
36,196,25,152.08,53.11943
37,197,14,149.82,57.22227
38,197,14,152.64,52.85064
39,197,1,149.82,54.85096
40,197,8,149.32,58.77464
41,198,27,151.8,56.60848
42,198,17,147.9,63.77311
43,198,26,152.52,55.33471
44,197,18,154.62,52.2417
45,197,9,150.46,62.41866
46,198,15,159.74,49.83124
47,198,10,142.88,67.67707
48,198,18,149.78,60.18049
49,198,28,157.7,49.0564
50,198,9,144.96,61.10383
